Name,Flow,Amount,Description (name),Description (flow)
FT,ELECTRICITY_MV,-0.004,Fischer-Tropsch Synthesis,Electricity (medium voltage)
FT,HEAT_LOW_T_DHN,0.395,Fischer-Tropsch Synthesis,"Heat (low temperature, district heating network)"
FT,WOOD,-1.879,Fischer-Tropsch Synthesis,Woody biomass
GASIFICATION_H2,CO2_A,0.635,Hydrogen Production via Gasification,CO2 emission (from carbon-intensive fields)
GASIFICATION_H2,ELECTRICITY_MV,-0.093,Hydrogen Production via Gasification,Electricity (medium voltage)
GASIFICATION_H2,H2_MP,1.0,Hydrogen Production via Gasification,Hydrogen (medium pressure)
GASIFICATION_H2,HEAT_HIGH_T,0.288,Hydrogen Production via Gasification,Heat (high temperature)
GASIFICATION_H2,WOOD,-1.63,Hydrogen Production via Gasification,Woody biomass
GASIFICATION_SNG,CO2_A,0.327,Synthetic Natural Gas Production via Gasification,CO2 emission (from carbon-intensive fields)
GASIFICATION_SNG,HEAT_HIGH_T,0.324,Synthetic Natural Gas Production via Gasification,Heat (high temperature)
GASIFICATION_SNG,SNG_MP,1.0,Synthetic Natural Gas Production via Gasification,Synthetic natural gas (medium pressure)
GASIFICATION_SNG,WOOD,-1.351,Synthetic Natural Gas Production via Gasification,Woody biomass
GASOLINE,GASOLINE,1.0,Gasoline,Gasoline
GASOLINE_S,GASOLINE_S,1.0,,Stored gasoline
GASO_STO,GASOLINE,-1.0,Gasoline to Storage,Gasoline
GASO_STO,GASOLINE_S,1.0,Gasoline to Storage,Stored gasoline
GEOTHERMAL,ELECTRICITY_MV,1.0,Geothermal Energy Utilization,Electricity (medium voltage)
GEOTHERMAL,RES_GEO,-1.0,Geothermal Energy Utilization,Geothermal resource
H2_CCGT,ELECTRICITY_HV,1.0,Combine Cycle Gas Turbine Hydrogen,Electricity (high voltage)
H2_CCGT,H2_MP,-1.429,Combine Cycle Gas Turbine Hydrogen,Hydrogen (medium pressure)
H2_COMP_HE,ELECTRICITY_MV,-0.007,Hydrogen Compression from High Pressure to Extra High Pressure,Electricity (medium voltage)
H2_COMP_HE,H2_EHP,1.0,Hydrogen Compression from High Pressure to Extra High Pressure,Hydrogen (extra high pressure)
H2_COMP_HE,H2_HP,-1.0,Hydrogen Compression from High Pressure to Extra High Pressure,Hydrogen (high pressure)
H2_COMP_LM,ELECTRICITY_MV,-0.02,Hydrogen Compression from Low Pressure to Medium Pressure,Electricity (medium voltage)
H2_COMP_LM,H2_LP,-1.0,Hydrogen Compression from Low Pressure to Medium Pressure,Hydrogen (low pressure)
H2_COMP_LM,H2_MP,1.0,Hydrogen Compression from Low Pressure to Medium Pressure,Hydrogen (medium pressure)
H2_COMP_MH,ELECTRICITY_MV,-0.01,Hydrogen Compression from Medium Pressure to High Pressure,Electricity (medium voltage)
H2_COMP_MH,H2_HP,1.0,Hydrogen Compression from Medium Pressure to High Pressure,Hydrogen (high pressure)
H2_COMP_MH,H2_MP,-1.0,Hydrogen Compression from Medium Pressure to High Pressure,Hydrogen (medium pressure)
