Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Acetic acid,Resource,=1 * 3.6 / 14.55,kilogram,kilowatt hour,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017)"
Acetone,Resource,=1 / 8.22,kilogram,kilowatt hour,"Acetone LHV (8.22 kWh/kg): (Engineering ToolBox, 2003)"
Alkaline Fuel Cell,Construction,1,unit,kilowatt,Capacity (1 kWe)
Alkaline Fuel Cell,Operation,1,kilowatt hour,kilowatt hour,None
Alkaline Electrolysis,Construction,=1/(33.3/51.8) / 1000,unit,kilowatt,"Capacity (1 MWe), electricity consumption (51.8 kWh/kg H2): (Gerloff, 2021), LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Alkaline Electrolysis,Operation,=1 / 33.3,kilogram,kilowatt hour,"LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Alkaline Electrolysis (plant),Construction,1,unit,unit,None
Alkaline Electrolysis (plant decommissioning),Construction,-1,unit,unit,None
Alkaline Electrolysis (stack),Construction,1,unit,unit,None
Alkaline Electrolysis (stack decommissioning),Construction,-1,unit,unit,None
Aluminum Making,Construction,=(8760*0.85)/130 / 1000000,unit,kilogram per hour,"facility production (130 kt/yr): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Aluminum Making,Operation,1,kilogram,kilogram,None
Aluminum Making Heat Recovery,Construction,=(8760*0.85)/130 / 1000000,unit,kilogram per hour,"facility production (130 kt/yr): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Aluminum Making Heat Recovery,Operation,1,kilogram,kilogram,None
Anaerobic Digestion of Sewage Sludge,Construction,=3.6 * 8760 * 0.86 / (10 * 8.279 * 1/3.3462) / 1000000,unit,kilowatt,"yearly capacity (10 kt waste/yr): (Wernet, 2016), LHV wet wood (8.279 MJ/kg): (Moret, 2017), process efficiency (3.3462 kWh wet biomass/kWh SNG): (Poschl, 2010) ; capacity factor (0.86): (Moret, 2017)"
Anaerobic Digestion of Sewage Sludge,Operation,=1 / (13.9 * 0.716),cubic meter,kilowatt hour,"methane LHV (13.9 kWh/kg), methane density (0.716 kg/m3): (Engineering ToolBox, 2003)"
Anaerobic Digestion of Sewage Sludge Cogeneration,Construction,1,kilowatt,kilowatt,None
Anaerobic Digestion of Sewage Sludge Cogeneration,Operation,=1 / (0.716 * 13.9 * 0.4),cubic meter,kilowatt hour,"CHP electrical efficiency (0.40): (Poschl, 2010) ; methane LHV (13.9 kWh/kg), methane density (0.716 kg/m3): (Engineering ToolBox, 2003)"
Anaerobic Digestion of Sewage Sludge Cogeneration (co-generation unit),Construction,=1 / 160,unit,kilowatt,"unit capacity (160 kWe): (Wernet, 2016)"
Anaerobic Digestion of Sewage Sludge Cogeneration (plant),Construction,=3.6 * 8760 * 0.86 * 7.72 / (10 * 8.279) / 1000000,unit,kilowatt,"yearly capacity (10 kt waste/yr): (Wernet, 2016) ; LHV wet wood (8.279 MJ/kg): (Moret, 2017) ; wet biomass input (7.72 GWh biomass / GWh electricity): (Moret, 2017) ; capacity factor (0.86): (Moret, 2017)"
Auto-Thermal Reforming,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Auto-Thermal Reforming,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Auto-Thermal Reforming with Carbon Capture,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Auto-Thermal Reforming with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Auto-Thermal Reforming with Carbon Capture (plant),Construction,1,unit,unit,None
Auto-Thermal Reforming with Carbon Capture (storage tank),Construction,=0.00000000254628/5.34876232801608E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Auto-Thermal Reforming (plant),Construction,1,unit,unit,None
Auto-Thermal Reforming (storage tank),Construction,=0.00000000254628/5.34874716181652E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Battery Energy Storage,Construction,=1 / 0.114,kilogram,kilowatt hour,"Li-ion battery energy density (0.114 kWh/kg): (Notter, 2010)"
Benzene,Resource,=1 * 3.6 / 42.5,kilogram,kilowatt hour,"Benzene heat of combustion (42.5 MJ/kg): (Wernet, 2016)"
Biogas Auto-Thermal Reforming,Construction,=8760*0.86 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Biogas Auto-Thermal Reforming,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Biogas Auto-Thermal Reforming with Carbon Capture,Construction,=8760*0.86 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Biogas Auto-Thermal Reforming with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Biogas Auto-Thermal Reforming with Carbon Capture (plant),Construction,1,unit,unit,None
Biogas Auto-Thermal Reforming with Carbon Capture (storage tank),Construction,=0.00000000254628/5.34874716181652E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Biogas Auto-Thermal Reforming (plant),Construction,1,unit,unit,None
Biogas Auto-Thermal Reforming (storage tank),Construction,=0.00000000254628/5.34874716181652E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Biomass to Biomethane,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 47.1) / 1000000,unit,kilowatt,"LHV NG (47.1 MJ/kg): (Engineering ToolBox, 2003), capacity factor (0.86): (Moret, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007)"
Biomass to Biomethane,Operation,=1/(47.1/3.6),kilogram,kilowatt hour,"LHV NG (47.1 MJ/kg): (Engineering ToolBox, 2003)"
Biogas Steam Methane Reforming,Construction,=8760*0.86 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Biogas Steam Methane Reforming,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Biogas Steam Methane Reforming with Carbon Capture,Construction,=8760*0.86 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Biogas Steam Methane Reforming with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Biogas Steam Methane Reforming with Carbon Capture (plant),Construction,1,unit,unit,None
Biogas Steam Methane Reforming with Carbon Capture (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Biogas Steam Methane Reforming (plant),Construction,1,unit,unit,None
Biogas Steam Methane Reforming (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Hydrogen from Biomass Gasification Entrained Flow ,Construction,=1000/5000000,unit,kilowatt,Factory capacity (5 MWth)
Hydrogen from Biomass Gasification Entrained Flow ,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Construction,=1000/5000000,unit,kilowatt,Factory capacity (5 MWth)
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture (plant),Construction,1,unit,unit,None
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Hydrogen from Biomass Gasification Entrained Flow  (plant),Construction,1,unit,unit,None
Hydrogen from Biomass Gasification Entrained Flow  (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Hydrogen from Biomass Gasification Fuidized Bed ,Construction,=1000/5000000,unit,kilowatt,Factory capacity (5 MWth)
Hydrogen from Biomass Gasification Fuidized Bed ,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Construction,=1000/5000000,unit,kilowatt,Factory capacity (5 MWth)
Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture (plant),Construction,1,unit,unit,None
Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Hydrogen from Biomass Gasification Fuidized Bed  (plant),Construction,1,unit,unit,None
Hydrogen from Biomass Gasification Fuidized Bed  (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Bio-diesel,Resource,=1 / 10.5,kilogram,kilowatt hour,"Biodiesel LHV (10.50 kWh/kg): (Engineering ToolBox, 2003)
"
100% BioDiesel-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
100% BioDiesel-Powered Bus,Operation,=1,person kilometer,person kilometer,None
20% BioDiesel-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
20% BioDiesel-Powered Bus,Operation,=1,person kilometer,person kilometer,None
Compressed Natural Gas-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Compressed Natural Gas-Powered Bus,Operation,=1,person kilometer,person kilometer,None
Diesel-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Diesel-Powered Bus,Operation,=1,person kilometer,person kilometer,None
Electric-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Electric-Powered Bus,Operation,=1,person kilometer,person kilometer,None
Hydrogen Fuel Cell-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Hydrogen Fuel Cell-Powered Bus,Operation,=1,person kilometer,person kilometer,None
Gasoline-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Gasoline-Powered Bus,Operation,=1,person kilometer,person kilometer,None
Diesel Hybrid Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Diesel Hybrid Bus,Operation,=1,person kilometer,person kilometer,None
Propane-Powered Bus,Construction,=1 * 8760 * 0.297 / (13 * 50000),unit,person kilometer per hour,"people per vehicle (13), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Propane-Powered Bus,Operation,=1,person kilometer,person kilometer,None
100% BioDiesel-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
100% BioDiesel-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
20% BioDiesel-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
20% BioDiesel-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Compressed Natural Gas-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Compressed Natural Gas-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Diesel-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Diesel-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Ethanol-Powered Car (E10 Blend),Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Ethanol-Powered Car (E10 Blend),Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Ethanol-Powered Car with E85 Blend,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Ethanol-Powered Car with E85 Blend,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Electric-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Electric-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Fuel Cell-Powered Car with Hydrogen,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Fuel Cell-Powered Car with Hydrogen,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Gasoline-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Gasoline-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Hybrid Electric Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Hybrid Electric Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Methanol-Powered Car ,Construction,=1 * 8760 * 0.051 / (1.5 * 7600),unit,person kilometer per hour,"number of passengers in cars (1.5): (Biedermann, 2023) ; yearly car distance (7600 km): (Biedermann, 2023), capacity factor (0.051): (Limpens, 2021)"
Methanol-Powered Car ,Operation,=1 / 1.5,kilometer,person kilometer,"number of passengers in cars (1.5): (Biedermann, 2023)"
Plug-in Hybrid Electric Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Plug-in Hybrid Electric Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Propane-Powered Car,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
Propane-Powered Car,Operation,=1/1.23,kilometer,person kilometer,"people per vehicle (1.23): (Chaire Mobilite, 2018)"
Combined Cycle Gas Turbine,Construction,=1/400 / 1000,unit,kilowatt,Plant capacity (400 MWe)
Combined Cycle Gas Turbine,Operation,=1,kilowatt hour,kilowatt hour,None
Combined Cycle Gas Turbine with Carbon Capture,Construction,=1/400 / 1000,unit,kilowatt,Plant capacity (400 MWe)
Combined Cycle Gas Turbine with Carbon Capture,Operation,=1,kilowatt hour,kilowatt hour,None
Cement Production,Construction,=(8760*0.85)/340 / 1000000,unit,kilogram per hour,"cement production (340 kt/year): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Cement Production,Operation,1,kilogram,kilogram,None
Cement Production (heat pump),Construction,=(8760*0.85)/340 / 1000000,unit,kilogram per hour,"cement production (340 kt/year): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Cement Production (heat pump),Operation,1,kilogram,kilogram,None
Conversion of CO2 to Methanol,Construction,=(24*0.86)/2.7 / 1000000,unit,kilogram per hour,"daily production (2700 t/day): (Wernet, 2016) ; capacity factor (0.86): (Moret, 2017)"
Conversion of CO2 to Methanol,Operation,1,kilogram,kilogram,None
CO2 Storage (input),Construction,=1 / (16000*827.3),unit,kilogram,"Density of CO2 at 50 bars and ambiant temperature (827.3 kg/m3): (The Engineering ToolBox, 2018)"
Conversion of CO2 to Diesel,Construction,=(1 / 1.5385) * (8760 * 0.86) / (33.3 * 1000) / 1000000,unit,kilowatt,"refinery capacity (1000 kt of crude oil/year): (Wernet, 2016) ; diesel LHV (11.83 kWh/kg), hydrogen LHV (33.3 kWh/kg): (Engineering ToolBox, 2003) ; hydrogen supply (1.5385 kWh H2/kWh diesel): (Willauer, 2012) ; capacity factor (0.86): (Moret, 2017)"
Conversion of CO2 to Diesel,Operation,=1 / 11.83,kilogram,kilowatt hour,"diesel LHV (11.83 kWh/kg): (Engineering ToolBox, 2003)"
Conversion of CO2 to Jet Fuels,Construction,=(1 / 1.190476) * (8760 * 0.86) / (33.3 * 1000) / 1000000,unit,kilowatt,"refinery capacity (1000 kt of crude oil/year): (Wernet, 2016) ; jet fuels LHV (43 MJ/kg): (Boehm, 2022) ; hydrogen LHV (33.3 kWh/kg): (Engineering ToolBox, 2003) ;  hydrogen supply (1.190476 kWh H2/kWh diesel): (Willauer, 2012) ; capacity factor (0.86): (Moret, 2017)"
Conversion of CO2 to Jet Fuels,Operation,=1 * 3.6 / 43,kilogram,kilowatt hour," jet fuels LHV (43 MJ/kg): (Boehm, 2022)"
100% BioDiesel-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
100% BioDiesel-Powered Coach,Operation,=1,person kilometer,person kilometer,None
20% BioDiesel-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
20% BioDiesel-Powered Coach,Operation,=1,person kilometer,person kilometer,None
Compressed Natural Gas-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Compressed Natural Gas-Powered Coach,Operation,=1,person kilometer,person kilometer,None
Diesel-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Diesel-Powered Coach,Operation,=1,person kilometer,person kilometer,None
10% Ethanol-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
10% Ethanol-Powered Coach,Operation,=1,person kilometer,person kilometer,None
Electric-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Electric-Powered Coach,Operation,=1,person kilometer,person kilometer,None
Gasoline-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Gasoline-Powered Coach,Operation,=1,person kilometer,person kilometer,None
Diesel Hybrid Coach,Construction,=1 * 8760 * 0.297/ (27 * 32000),unit,person kilometer per hour,"people per vehicle (27): (Schnidrig, 2020) ; yearly distance (32000 km): (Schnidrig, 2020) ; capacity factor (0.297): (Limpens, 2021)"
Diesel Hybrid Coach,Operation,=1,person kilometer,person kilometer,None
Propane-Powered Coach,Construction,=1 * 8760 * 0.297 / (21 * 50000),unit,person kilometer per hour,"people per vehicle (21), yearly distance (50000 km): (Sacchi, 2022), capacity factor (0.297): (Limpens, 2021)"
Propane-Powered Coach,Operation,=1,person kilometer,person kilometer,None
Coal,Resource,=1 * 3.6 / 27.91,kilogram,kilowatt hour,"Bituminous coal LHV (27.91 MJ/kg): (Wernet, 2016)"
Hydrogen from Coal Gasification,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Hydrogen from Coal Gasification,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Advanced Coal Gasification,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Hydrogen from Advanced Coal Gasification,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Advanced Coal Gasification with Carbon Capture,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Hydrogen from Advanced Coal Gasification with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Advanced Coal Gasification with Carbon Capture (plant),Construction,1,unit,unit,None
Hydrogen from Advanced Coal Gasification with Carbon Capture (storage tank),Construction,=0.0000000039744 / 6.99719999999999E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Hydrogen from Advanced Coal Gasification (plant),Construction,1,unit,unit,None
Hydrogen from Advanced Coal Gasification (storage tank),Construction,=0.0000000039744 / 6.99719999999999E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Hydrogen from Coal Gasification with Carbon Capture,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Hydrogen from Coal Gasification with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen from Coal Gasification with Carbon Capture (plant),Construction,1,unit,unit,None
Hydrogen from Coal Gasification with Carbon Capture (storage tank),Construction,=0.0000000039744 / 6.99719999999999E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Hydrogen from Coal Gasification (plant),Construction,1,unit,unit,None
Hydrogen from Coal Gasification (storage tank),Construction,=0.0000000039744 / 6.99719999999999E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Integrated Gasification Combined Cycle,Construction,=1/450 / 1000,unit,kilowatt,Plant capacity (450 MWe)
Integrated Gasification Combined Cycle,Operation,=1,kilowatt hour,kilowatt hour,None
Integrated Gasification Combined Cycle with Carbon Capture,Construction,=1/450 / 1000,unit,kilowatt,Plant capacity (450 MWe)
Integrated Gasification Combined Cycle with Carbon Capture,Operation,=1,kilowatt hour,kilowatt hour,None
Coal Ultra-Supercritical,Construction,=1/380 / 1000,unit,kilowatt,Plant capacity (380 MWe)
Coal Ultra-Supercritical,Operation,1,kilowatt hour,kilowatt hour,None
Coal Ultra-Supercritical with Carbon Capture,Construction,=1/380 / 1000,unit,kilowatt,Plant capacity (380 MWe)
Coal Ultra-Supercritical with Carbon Capture,Operation,1,kilowatt hour,kilowatt hour,None
Diesel-Powered Commuter Train,Construction,=1 * 8760 * 0.345 / (46 * 150000),unit,person kilometer per hour,"vehicle performance (150000 km/yr) (Wernet, 2016), people per vehicle (46): (Wernet, 2016), capacity factor (0.345): (Limpens, 2021)"
Diesel-Powered Commuter Train,Operation,1,person kilometer,person kilometer,None
Electric-Powered Commuter Train,Construction,=1 * 8760 * 0.345 / (46 * 150000),unit,person kilometer per hour,"vehicle performance (150000 km/yr) (Wernet, 2016), people per vehicle (46): (Wernet, 2016), capacity factor (0.345): (Limpens, 2021)"
Electric-Powered Commuter Train,Operation,1,person kilometer,person kilometer,None
Conversion of Crops to Ethanol,Construction,=8760 * 0.86 / (90 * 7.42) / 1000000,unit,kilowatt,"LHV ethanol (7.42 kWh/kg): (Engineering ToolBox, 2003), capacity factor (0.86): (Moret, 2017), factory capacity (90 kt ethanol/year): (Wernet, 2016)"
Conversion of Crops to Ethanol,Operation,=1 / 7.42,kilogram,kilowatt hour,"LHV ethanol (7.42 kWh/kg): (Engineering ToolBox, 2003)"
