Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Hydrogen-Powered Freight Train,Operation,1,ton kilometer,ton kilometer,None
Hydrogen-Powered Freight Train (locomotive),Construction,2,unit,unit,"2 locomotives per train (Spielmann, 2007)"
Hydrogen-Powered Freight Train (wagon),Construction,20,unit,unit,"20 wagon per train: (Spielmann, 2007); "
Hybrid Battery-Fuel Cell-Powered Freight Train,Construction,=(40 * 8760 * 0.342) / (9600000 * 20 * 26),unit,ton kilometer per hour,"Lifetime distance (9600000 km): (Spielmann, 2007), Lifetime of train (40 years): (Spielmann, 2007), Load per wagon (26t): (Spielmann, 2007), number of wagons (20): (Spielmann, 2007), capacity factor (0.342): (Limpens, 2021)"
Hybrid Battery-Fuel Cell-Powered Freight Train,Operation,=1,ton kilometer,ton kilometer,None
Hybrid Battery-Fuel Cell-Powered Freight Train (locomotive),Construction,2,unit,unit,"locomotives per train (2): (Spielmann, 2007)"
Hybrid Battery-Fuel Cell-Powered Freight Train (wagon),Construction,20,unit,unit,"wagon per train (20): (Spielmann, 2007)"
Natural Gas-Powered Freight Train,Construction,=(40 * 8760 * 0.342) / (9600000 * 20 * 26),unit,ton kilometer per hour,"Lifetime distance 9600000 km: (Spielmann, 2007); train composition 2 Locomotives:  (Schnidrig, 2020); Lifetime of train 40 years:  (Spielmann, 2007); 20 waggon per train: (Spielmann, 2007); Load per wagon: 26t  (Spielmann, 2007); capacity factor (0.342): (Limpens, 2021)"
Natural Gas-Powered Freight Train,Operation,1,ton kilometer,ton kilometer,None
Natural Gas-Powered Freight Train (locomotive),Construction,2,unit,unit,"2 locomotives per train (Spielmann, 2007)"
Natural Gas-Powered Freight Train (wagon),Construction,20,unit,unit,"20 wagon per train: (Spielmann, 2007); "
Hydrogen-Powered Train,Construction,=40 * 8760 * 0.275 / (343 * 20000000),unit,person kilometer per hour,"distance over lifetime (20mio km), lifetime (40y): (Wernet, 2016), people per vehicle (343): (Schnidrig, 2020), capacity factor (0.275): (Limpens, 2021)"
Hydrogen-Powered Train,Operation,=1,person kilometer,person kilometer,None
Natural Gas-Powered Train,Construction,=40 * 8760 * 0.275 / (343 * 20000000),unit,person kilometer per hour,"distance over lifetime (20mio km), lifetime (40y): (Wernet, 2016), people per vehicle (343): (Schnidrig, 2020), capacity factor (0.275): (Limpens, 2021)"
Natural Gas-Powered Train,Operation,=1,person kilometer,person kilometer,None
Tramway,Construction,=1 * 8760 * 0.342 / (28 * 27300),unit,person kilometer per hour,"Yearly distance (27300 km/yr): (Wernet, 2016) ; people per vehicle (28): (Wernet, 2016), capacity factor (0.342): (Limpens, 2021)"
Tramway,Operation,=1,person kilometer,person kilometer,None
100% BioDiesel-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
100% BioDiesel-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
20% BioDiesel-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
20% BioDiesel-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
Compressed Natural Gas-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Compressed Natural Gas-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
Diesel-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Diesel-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
